,Random,Greedy
1241,10.0,1.0
1242,20.0,4.0
1243,11.0,1.0
1244,10.0,1.0
1245,29.0,9.0
1246,16.0,1.0
1247,12.0,2.0
1248,7.0,5.0
1249,13.0,5.0
1250,20.0,3.0
1251,18.0,0.0
1252,9.0,3.0
1253,8.0,2.0
1254,12.0,2.0
1255,31.0,3.0
1256,11.0,5.0
1257,37.0,5.0
1258,25.0,5.0
1259,30.0,6.0
1260,24.0,1.0
1261,20.0,9.0
1262,38.0,8.0
1263,8.0,4.0
1264,12.0,3.0
1265,13.0,3.0
1266,9.0,5.0
1267,27.0,8.0
1268,15.0,1.0
1269,8.0,3.0
1270,7.0,2.0
1271,18.0,1.0
1272,19.0,2.0
1273,17.0,4.0
1274,9.0,3.0
1275,26.0,4.0
1276,11.0,2.0
1277,9.0,2.0
1278,20.0,4.0
1279,10.0,3.0
1280,29.0,5.0
1281,15.0,3.0
1282,20.0,1.0
1283,37.0,5.0
1284,29.0,4.0
1285,10.0,5.0
1286,21.0,7.0
1287,11.0,4.0
1288,11.0,3.0
1289,10.0,2.0
1290,30.0,4.0
1291,6.0,3.0
1292,86.0,19.0
1293,25.0,5.0
1294,18.0,0.0
1295,26.0,8.0
1296,16.0,1.0
1297,8.0,1.0
1298,23.0,6.0
1299,15.0,8.0
1300,17.0,2.0
1301,11.0,1.0
1302,13.0,1.0
1303,25.0,5.0
1304,10.0,2.0
1305,15.0,3.0
1306,12.0,2.0
1307,7.0,3.0
1308,6.0,6.0
1309,16.0,3.0
1310,14.0,4.0
1311,18.0,3.0
1312,10.0,2.0
1313,22.0,2.0
1314,16.0,8.0
1315,12.0,1.0
1316,25.0,2.0
1317,13.0,2.0
1318,9.0,2.0
1319,20.0,2.0
1320,13.0,3.0
1321,15.0,8.0
1322,16.0,3.0
1323,11.0,5.0
1324,15.0,5.0
1325,14.0,2.0
1326,23.0,7.0
1327,15.0,2.0
1328,12.0,2.0
1329,17.0,1.0
1330,13.0,5.0
1331,10.0,2.0
1332,35.0,9.0
1333,59.0,19.0
1334,24.0,6.0
1335,12.0,2.0
1336,18.0,4.0
1337,9.0,4.0
1338,17.0,0.0
1339,22.0,3.0
1340,12.0,5.0
1341,11.0,2.0
1342,9.0,3.0
1343,20.0,2.0
1344,20.0,0.0
1345,12.0,3.0
1346,17.0,2.0
1347,9.0,4.0
1348,11.0,5.0
1349,47.0,12.0
1350,21.0,2.0
1351,6.0,6.0
1352,25.0,2.0
1353,43.0,6.0
1354,14.0,2.0
1355,18.0,2.0
1356,22.0,2.0
1357,9.0,2.0
1358,42.0,10.0
